図鑑No.	ポケモン名	タイプ	進化	とくい	睡眠タイプ	おてつだい時間	食材確率	スキル確率	メインスキル	食材1	食材2	食材3	最大所持数
777	トゲデマル	はがね	3	スキル	ぐっすり	2700	16.9	5.4	ほっぺすりすり	モーモーミルク	つやつやアボカド	リラックスカカオ	18
778	ミミッキュ	ゴースト	3	スキル	うとうと	2500	15.3	3.5	ばけのかわ	とくせんリンゴ	めざましコーヒー	あじわいキノコ	19
845	ウッウ	ひこう	3	食材	ぐっすり	2700	16.5	3.9	料理チャンスS	ピュアなオイル	ほっこりポテト	とくせんエッグ	19
848	エレズン	どく	1	スキル	ぐっすり	5600	20.9	4.8	食材ゲットS	モーモーミルク	とくせんリンゴ	ふといながねぎ	6
849	ストリンダー（ハイ）	どく	3	スキル	うとうと	3100	23.9	6.4	プラス	モーモーミルク	とくせんリンゴ	ふといながねぎ	23
906	ニャオハ	くさ	1	食材	うとうと	4600	20.8	2.3	料理パワーアップS	ほっこりポテト	モーモーミルク	あったかジンジャー	10
907	ニャローテ	くさ	2	食材	うとうと	3500	20.9	2.3	料理パワーアップS	ほっこりポテト	モーモーミルク	あったかジンジャー	19
908	マスカーニャ	あく	3	食材	うとうと	2600	19.0	2.2	料理パワーアップS	ほっこりポテト	モーモーミルク	あったかジンジャー	28
909	ホゲータ	ほのお	1	食材	すやすや	4200	25.4	5.3	げんきチャージS	とくせんリンゴ	マメミート	げきからハーブ	11
910	アチゲータ	ほのお	2	食材	すやすや	3100	24.7	5.0	げんきチャージS	とくせんリンゴ	マメミート	げきからハーブ	21
911	ラウドボーン	ゴースト	3	食材	うとうと	2700	26.8	6.2	げんきチャージS	とくせんリンゴ	マメミート	げきからハーブ	29
912	クワッス	みず	1	食材	ぐっすり	4800	26.1	2.8	エナジーチャージM	マメミート	ふといながねぎ	ピュアなオイル	10
913	ウェルカモ	みず	2	食材	ぐっすり	3600	25.9	2.7	エナジーチャージM	マメミート	ふといながねぎ	ピュアなオイル	19
914	ウェーニバル	かくとう	3	食材	ぐっすり	2600	23.2	2.4	エナジーチャージM	マメミート	ふといながねぎ	ピュアなオイル	29
921	パモ	でんき	1	スキル	すやすや	4600	11.1	3.6	げんきオールS	リラックスカカオ	モーモーミルク	とくせんエッグ	9
922	パモット	でんき	2	スキル	すやすや	3300	10.9	3.6	げんきオールS	リラックスカカオ	モーモーミルク	とくせんエッグ	17
923	パーモット	でんき	3	スキル	すやすや	2400	14.1	3.9	げんきオールS	リラックスカカオ	モーモーミルク	とくせんエッグ	28
974	アルクジラ	こおり	1	食材	ぐっすり	5100	22.3	4.2	げんきチャージS	ほっこりポテト	マメミート	ずっしりカボチャ	12
975	ハルクジラ	こおり	3	食材	ぐっすり	2800	20.9	4.2	げんきチャージS	ほっこりポテト	マメミート	ずっしりカボチャ	30
980	ドオー	どく	3	食材	うとうと	3500	20.8	5.5	げんきチャージS	リラックスカカオ	めざましコーヒー	ほっこりポテト	25
194-1	ウパー（パルデア）	どく	1	食材	うとうと	6400	20.9	5.6	げんきチャージS	リラックスカカオ	めざましコーヒー	ほっこりポテト	9
849-1	ストリンダー（ロー）	どく	3	スキル	うとうと	3100	23.9	6.4	マイナス	モーモーミルク	とくせんリンゴ	ふといながねぎ	23
37-1	ロコン（アローラ）	こおり	1	きのみ	ぐっすり	5600	23.0	2.8	おてつだいサポートS	ワカクサ大豆	ワカクサコーン	ほっこりポテト	10
38-1	キュウコン（アローラ）	こおり	3	きのみ	ぐっすり	2900	23.2	2.8	おてつだいサポートS	ワカクサ大豆	ワカクサコーン	ほっこりポテト	25
ハロウィンイーブイ	イーブイ（ハロウィン）	ノーマル	3	スキル	すやすや	3200	12.0	4.6	食材ゲットS	モーモーミルク	リラックスカカオ	マメミート	18
ハロウィンピカチュウ	ピカチュウ（ハロウィン）	でんき	3	きのみ	すやすや	2500	21.8	2.8	エナジーチャージS（ランダム）	とくせんリンゴ	あったかジンジャー	とくせんエッグ	18
ホリデーイーブイ	イーブイ（ホリデー）	ノーマル	3	きのみ	すやすや	3100	15.6	3.2	ゆめのかけらゲットS（固定）	モーモーミルク	リラックスカカオ	マメミート	20
ホリデーピカチュウ	ピカチュウ（ホリデー）	でんき	3	スキル	すやすや	2500	13.1	4.2	ゆめのかけらゲットS（固定）	とくせんリンゴ	あったかジンジャー	とくせんエッグ	20
ホリデータマザラシ	タマザラシ（ホリデー）	こおり	3	スキル	ぐっすり	3300	21.4	5.0	料理チャンスS	ピュアなオイル	マメミート	あったかジンジャー	20
